Product Name,Original Price,Current Price,Description
Biodentine Box of 5,₨40000,₨32000,Biocompatible Versatile Dentine Substitute Material
Chlorbutanol,,₨10740,Analgesic and Antiseptic Solution for Topical Treatment of Pulpitis
Endofill Root Canal Sealer P/L,₨14200,₨12500,Root Canal Sealer
EndoFree Gel 2x3ml,₨5900,₨5300,Edta Gel 17% with Carbamide Peroxide
Endomethasone N,,₨31600,NEW Antiseptic and Anti-inflammatory Root Canal Sealer
Endomethasone N 14g + 10 ML,,₨46600,Endomethasone N Anti Inflammatory ,with Hydrocortisone Root canal sealer
Endoseptone - Root Canal Dressing,,₨12100,Root Canal Dressing
EndoWash Sodium Hypochlorite,,₨2950,Stabilised solution of 3% sodium hypochlorite
Essenseal Root Canal Sealer P/L,₨15700,₨13500,Root Canal Sealer with The power of tea tree
Fibrapost Plus Kit,₨62000,₨58900,Glass Fibre Endo Post System
Granulotec,₨28350,₨24000,Permanent Obturation of Infected Root Canals
Irriflex Flexible Irrigation Needles,,₨22400,Flexible Irrigation Needles
Odontopaste,,₨16500,Patented Intracanal Medicament for Pain management
Opacal Calcium Hydroxide PD,₨6950,₨5900,Multi Purpose Creamy, radiopaque, ready-to-use calcium hydroxide paste
PD EDTA 17% Solution,,₨7900,Eases instrumentation and smear layer removal
PD Eugenate desobturator,,₨7165,Solvent for endodontic filling materials
PD Eugenol 30ml,,₨6300,Pure Eugenol from PD Swiss
PD Gates Glidden Drills,,₨7925,Swiss Quality
PD MTA White,₨16995,₨15200,Non Staining White MTA from PD Swiss
PD Peeso Reamers,,₨7925,Swiss Quality
PD Rosen Root Canal Sealer,₨13700,₨11700,Root Canal Sealer
PD Zinc Oxide Powder 100g,,₨4925,Multi Purpose Zinc Oxide Powder
Prima Taper Gold File System,,₨11500,Superior Memory Control , Excellent Flexibility and Greater Efficiency
Pulpotec P/L,₨22200,₨18500,Rapid and long term treatment by pulpotomy of vital molars
