Product Name,Original Price,Current Price,Description
Biodentine Box of 5,₨40000,₨32000,Biocompatible Versatile Dentine Substitute Material
Cavex Quadrant Composite Kit & CA37 Offer,₨34400,₨27500,Cavex Quadrant Composite Kit with CA37 Alginate Special Offer
Deal Tetric N Ceram Nano Composite Kit + Te Econom Plus Kit,₨74500,₨58000,Nano Optimized and Hybrid Kits Mega Deal Offer
Dressin 38g,₨1850,₨1750,Temporary Filling Material
Eco Etch 2g,₨2075,₨1868,37% Phosphoric Acid Etching Gel 2g Tube
GS 80 Alloy Amalgam,,₨19500 – ₨29800,Economical, High Strength, non-gamma 2, admix Silver alloy
Opacal Calcium Hydroxide PD,₨6950,₨5900,Multi Purpose Creamy, radiopaque, ready-to-use calcium hydroxide paste
PD Articulating Paper,,₨5292 – ₨5724,High Quality Swiss Articulating Papers
PD Eugenol 30ml,,₨6300,Pure Eugenol from PD Swiss
PD MTA White,₨16995,₨15200,Non Staining White MTA from PD Swiss
PD Zinc Oxide Powder 100g,,₨4925,Multi Purpose Zinc Oxide Powder
Quadrant Kit 6 Shades Deal,₨32450,₨25500,Cavex Quadrant 6 Shades Composite Kit Deal
Riva LightCure GIC Capsules Box of 50,₨41000,₨38950,Light Cured Resin Reinforced Glass Ionomer Restorative Material
Riva LightCure GIC P/L,₨11700,₨10530,Light Cured Resin Reinforced Glass Ionomer Restorative Material
Riva SelfCure GIC Capsules Box of 50,₨41000,₨38950,High Strength High Fluoride Release GIC BULK FILL Glass Hybrid Restorative System
Riva SelfCure GIC P/L 15g+8g,,₨9950,Superior Strength and Fluoride Release GIC System with Ion Glass Technology
Riva Silver Capsules Box of 50,₨55300,₨49770,Mercury free, fluoride releasing, GIC silver reinforced restorative
Riva Silver P/L,₨25700,₨24415,Mercury free, fluoride releasing, GIC silver reinforced restorative
Te Econom Bond,,₨10325,Light Cure Single Component Adhesive 5g Bottle
Te Econom Plus Composite,,₨4365 – ₨26550,Classic Light curing Radiopaque Hybrid Composite Kit
Te Econom Plus Composite Kit,₨29500,₨26550,Te Econom Plus Composite Kit Ivoclar
Te Econom Plus Composite Kit Deal 6 Syringes,₨39200,₨29500,New Te Econom Plus Kit with 2 Extra Shades Deal
Tetric N Bond Universal 3g,₨12500,₨11250,All Rounder Universal Bonding Agent
Tetric N Ceram – All Cavity Deal,₨59950,₨45000,Tetric N Ceram Kit with 2 Viscosity Flowables
Tetric N Ceram 3S Kit,₨45000,₨33750,Tetric N Ceram Kit from Ivoclar , Premium Quality Nano Optimized System
Tetric N Ceram Bulkfill Composite 3.5g Syringe,,₨8955 – ₨29850,The 4mm Posterior Packable BulkFill Composite
Tetric N Ceram Kit 5xSyr Combo Deal,₨54700,₨41500,Tetric N Ceram Kit with Te Econom Plus Shades Combo Offer
Tetric N Ceram Kit With Bulkfill Flowable,₨62400,₨45000,Tetric N Ceram Kit with BulkFill Flowable
Tetric N Ceram Nano Composite,,₨9360 – ₨44000,Nano Optimized Anterior/Posterior Light Cure Composite
Tetric N Flow Bulkfill Composite 2g Syringe,₨8900,₨7565,4MM Bulkfill Flowable Composite with Self Levelling Properties
Tetric N Flow Bulkfill Composite Deal 2+1,₨26700,₨17800,Buy 2 Get 1 Free Deal Tetric N Flow Bullkfill
Tetric N Flow Flowable Composite,₨6700,₨6030,Radiopaque Flowable Nano Hybrid Flowable Composite
Zonalin Resin Modified ZOE,,₨9400,Resin Modified Quick Setting Multi Purpose ZOE Cement
